200, Successful Press: False
200, Successful Press: False
200, Successful Press: False
92, Successful Press: True
200, Successful Press: False
91, Successful Press: True
191, Successful Press: True
Trial: 132, Steps Taken: 200, Successful Press: False
Trial: 133, Steps Taken: 122, Successful Press: True
Trial: 134, Steps Taken: 200, Successful Press: False
Trial: 135, Steps Taken: 169, Successful Press: True
Trial: 136, Steps Taken: 40, Successful Press: True
Trial: 137, Steps Taken: 108, Successful Press: True
Trial: 138, Steps Taken: 181, Successful Press: True
Trial: 139, Steps Taken: 200, Successful Press: False
Trial: 140, Steps Taken: 200, Successful Press: False
Trial: 141, Steps Taken: 81, Successful Press: True
Trial: 142, Steps Taken: 51, Successful Press: True
Trial: 143, Steps Taken: 200, Successful Press: False
Trial: 144, Steps Taken: 129, Successful Press: True
Trial: 145, Steps Taken: 73, Successful Press: True
Trial: 146, Steps Taken: 200, Successful Press: False
Trial: 147, Steps Taken: 29, Successful Press: True
Trial: 148, Steps Taken: 111, Successful Press: True
Trial: 149, Steps Taken: 121, Successful Press: True
